District,School Code,School Name,Principal,Address,City,State,Zip,Phone,Fax,Email,Grade Levels,Total Students
HILLSBOROUGH,6644,ADVANTAGE ACADEMY OF HILLSBOROUGH,SAMANTHA WALKER,350 W PROSSER DR,PLANT CITY,FL,33563-6975,(813) 567-0801,(813) 441-0272,Samantha.Walker@sdhc.k12.fl.us,PREK-8 ,466
HILLSBOROUGH,6668,BELL CREEK ACADEMY,MARGARET FAHRINGER,13221 BOYETTE RD,RIVERVIEW,FL,33569-5708,(813) 793-6075,(813) 413-2985,Margaret.Fahringer@sdhc.k12.fl.us,6-8 ,558
HILLSBOROUGH,6661,BELL CREEK ACADEMY HIGH SCHOOL,MARGARET FAHRINGER,13221 BOYETTE RD,RIVERVIEW,FL,33569-5708,(813) 793-6075,(813) 413-2985,Margaret.Fahringer@sdhc.k12.fl.us,9-12 ,625
HILLSBOROUGH,7812,BRIDGEPREP ACADEMY OF RIVERVIEW,MARVIN PITTS,6309 US HIGHWAY 301 S,RIVERVIEW,FL,33578-3850,(813) 405-1770,,Marvin.Pitts@sdhc.k12.fl.us,K-8 ,1071
HILLSBOROUGH,7675,BRIDGEPREP ACADEMY OF TAMPA,CHRISTINE HARRIS,2418 W SWANN AVE,TAMPA,FL,33609-4712,(813) 258-5652,(813) 258-5654,charrisbridgeprep@gmail.com,K-8 ,332
HILLSBOROUGH,6634,BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL,KRISTINE BENNETT,10948 N CENTRAL AVE,TAMPA,FL,33612-6604,(813) 971-5600,(813) 971-5656,Kristine.Bennett@sdhc.k12.fl.us,9-12 ,701
HILLSBOROUGH,6652,CHANNELSIDE ACADEMY OF MATH AND SCIENCE,CRISTINA FUENTES,1029 E TWIGGS ST,TAMPA,FL,33602-3527,(813) 579-9649,(813) 463-2439,Cristina.Fuentes@sdhc.k12.fl.us,K-8 ,486
HILLSBOROUGH,7803,CREEKSIDE CHARTER ACADEMY,MARSHA VANHOOK,14020 US HWY 301 S,RIVERVIEW,FL,33578,(813) 419-5340,(813) 419-5341,Marsha.VanHook@sdhc.k12.fl.us,K-8 ,651
HILLSBOROUGH,7827,DR KIRAN C PATEL HIGH SCHOOL,MARLEE STRAWN,10721 RAULERSON RANCH RD,TAMPA,FL,33637-5310,(813) 694-7667,,Marlee.Strawn@sdhc.k12.fl.us,9-12 ,493
HILLSBOROUGH,7816,EAST TAMPA ACADEMY,AISHA VASQUEZ JACKSON,4309 N 34TH ST,TAMPA,FL,33610-6904,(813) 494-3017,,Aisha.VasquezJackson@sdhc.k12.fl.us,K-2 ,49
HILLSBOROUGH,7791,EXCELSIOR PREP CHARTER SCHOOL,STEPHANIE MULLINGS,2156 UNIVERSITY SQUARE MALL UNIT 260,TAMPA,FL,33612-5516,(813) 644-9060,(813) 200-1113,Mullings@sdhc.k12.fl.us,K-8 ,241
