,,,2018-19 School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,
,,,Note: School Improvement Ratings were not calculated in 2015.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,English Language Arts Learning Gains,Mathematics Learning Gains,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,School Improvement Rating 2019,Improvement Rating 2018,Improvement Rating 2017,Improvement Rating 2016,Improvement Rating 2014,Improvement Rating 2013,Improvement Rating 2012,Improvement Rating 2011,Improvement Rating 2010,Improvement Rating 2009,Improvement Rating 2008,Charter School,Alternative/ESE Center School,School Type,Title I,Percent of Minority Students,Percent of Economically Disadvantaged Students,Was the aggregate rule used?
01,ALACHUA,0081,SIDNEY LANIER CENTER,16,22,38,2,19,93,UNSATISFACTORY,UNSATISFACTORY,MAINTAINING,,IMPROVING,,,,,,,NO,A,04,YES,69.9,100,
01,ALACHUA,0082,HOSPITAL HOMEBOUND,,,,,,,I,,,,,,,,,,,NO,E,04,NO,50,30,Y
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",35,44,79,2,40,100,MAINTAINING,MAINTAINING,MAINTAINING,MAINTAINING,DECLINING,,,,,,,YES,A,04,NO,54.6,89.8,
01,ALACHUA,0991,SIATECH AT GAINESVILLE,,,,,,,I,MAINTAINING,MAINTAINING,,,,,,,,,YES,A,03,YES,74.3,96.4,
01,ALACHUA,1003,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,30,52,82,2,41,89,MAINTAINING,MAINTAINING,MAINTAINING,,MAINTAINING,,,,,,,YES,A,04,YES,82.3,100,
03,BAY,0241,ST. ANDREW SCHOOL,17,25,42,2,21,99,UNSATISFACTORY,MAINTAINING,MAINTAINING,MAINTAINING,IMPROVING,IMPROVING,IMPROVING,,,,,NO,E,01,YES,53.9,100,
03,BAY,0281,MARGARET K. LEWIS IN MILLVILLE,41,40,81,2,41,98,MAINTAINING,COMMENDABLE,,,DECLINING,DECLINING,IMPROVING,,,,,NO,E,04,YES,31.4,100,
