OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1210819,2020-90167           ,BATTERY,BATTERY-SIMPLE,02/03/2020,1200 BLOCK 143RD AV E,33613
1210830,2020-89281           ,THEFT,SHOPLIFTING,02/03/2020,15300 BLOCK NEBRASKA AV N,33613
1210852,2020-90042           ,BURGLARY,BURGLARY RESIDENCE / FORCED,02/03/2020,3500 BLOCK JEFFERSON COMMONS DR,33613
1210857,2020-90098           ,BATTERY,BATTERY-SIMPLE,02/03/2020,1500 BLOCK 142ND AV E,33613
1210869,2020-88198           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/03/2020,15400 BLOCK WOODWAY DR,33613
1210930,2020-89780           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/03/2020,3700 BLOCK JEFFERSON COMMONS DR,33613
1210945,2020-90329           ,THEFT,SHOPLIFTING,02/03/2020,13600 BLOCK UNIVERSITY PZ,33613
1210972,2020-89889           ,TRAFFIC,Property Damage,02/03/2020,BRUCE B DOWNS BL  /  GATES DR,33613
1211127,2020-93162           ,BATTERY,BATTERY-SIMPLE,02/04/2020,800 BLOCK WALKER DR,33613
1211138,2020-1500124         ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/04/2020,3500 BLOCK JEFFERSON COMMONS DR,33613
1211279,2020-93396           ,BATTERY,BATTERY-SIMPLE,02/04/2020,14200 BLOCK NEBRASKA AV N,33613
1211323,2020-95173           ,THEFT,SHOPLIFTING,02/05/2020,13600 BLOCK UNIVERSITY PZ,33613
1211367,2020-93942           ,DUI,DUI (DRIVING UNDER INFLUENCE),02/05/2020,FLETCHER AV E  /  USF GENSHAFT DR,33613
1211378,2020-94397           ,DRUGS,DRUGS/NARCOTICS,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211379,2020-94397           ,DRUGS,DRUG PARAPHERNALIA,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211380,2020-94397           ,FRAUD,FRAUD-OTHER,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211431,2020-94041           ,DUI,DUI (DRIVING UNDER INFLUENCE),02/05/2020,13800 BLOCK 20TH ST N,33613
1211506,2020-94817           ,TRAFFIC,Non Incapacitating Injury,02/05/2020,BEARSS AV W  /  NORTHWOOD VLG LN,33613
1211554,2020-94882           ,FRAUD,FRAUD-OTHER,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211595,2020-97416           ,THEFT,THEFT MOTOR VEHICLE PARTS,02/06/2020,14400 BLOCK 19TH ST N,33613
1211624,2020-97766           ,THEFT,PETIT THEFT - ALL OTHER,02/06/2020,14700 BLOCK 42ND ST N,33613
1211645,2020-98268           ,FRAUD,FRAUD-OTHER,02/06/2020,15300 BLOCK NEBRASKA AV N,33613
