OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1211117,2020-93162           ,BATTERY,BATTERY-SIMPLE,02/04/2020,800 BLOCK WALKER DR,33613
1211130,2020-1500124         ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/04/2020,3500 BLOCK JEFFERSON COMMONS DR,33613
1211295,2020-93396           ,BATTERY,BATTERY-SIMPLE,02/04/2020,14200 BLOCK NEBRASKA AV N,33613
1211338,2020-94817           ,TRAFFIC,Non Incapacitating Injury,02/05/2020,BEARSS AV W  /  NORTHWOOD VLG LN,33613
1211385,2020-95173           ,THEFT,SHOPLIFTING,02/05/2020,13600 BLOCK UNIVERSITY PZ,33613
1211409,2020-93942           ,DUI,DUI (DRIVING UNDER INFLUENCE),02/05/2020,FLETCHER AV E  /  USF GENSHAFT DR,33613
1211431,2020-94397           ,DRUGS,DRUGS/NARCOTICS,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211432,2020-94397           ,DRUGS,DRUG PARAPHERNALIA,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211433,2020-94397           ,FRAUD,FRAUD-OTHER,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211463,2020-94041           ,DUI,DUI (DRIVING UNDER INFLUENCE),02/05/2020,13800 BLOCK 20TH ST N,33613
1211568,2020-94882           ,FRAUD,FRAUD-OTHER,02/05/2020,15300 BLOCK NEBRASKA AV N,33613
1211593,2020-97416           ,THEFT,THEFT MOTOR VEHICLE PARTS,02/06/2020,14400 BLOCK 19TH ST N,33613
1211620,2020-97766           ,THEFT,PETIT THEFT - ALL OTHER,02/06/2020,14700 BLOCK 42ND ST N,33613
1211641,2020-98268           ,FRAUD,FRAUD-OTHER,02/06/2020,15300 BLOCK NEBRASKA AV N,33613
1211661,2020-98380           ,DRUGS,DRUGS/NARCOTICS,02/06/2020,13700 BLOCK 19TH ST N,33613
1211678,2020-99633           ,THEFT,PETIT THEFT - ALL OTHER,02/06/2020,13700 BLOCK SUSAN KAY DR,33613
1211742,2020-1500136         ,FRAUD,FRAUD-SWINDLE,02/06/2020,15300 BLOCK NEBRASKA AV N,33613
1211746,2020-98230           ,FRAUD,FRAUD-OTHER,02/06/2020,15300 BLOCK NEBRASKA AV N,33613
1211762,2020-097107          ,TRAFFIC,Property Damage,02/06/2020,BRUCE B DOWNS BL  /  GRAND PAVILION DR,33613
1211773,2020-097472          ,TRAFFIC,Non Incapacitating Injury,02/06/2020,SKIPPER RD  /  BRUCE B DOWNS BL,33613
