OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1045777,2018-105236          ,TRAFFIC,Non Incapacitating Injury,2/12/2018,BRUCE B DOWNS BL / GRAND PAVILION DR,33613
1043905,2018-87847           ,TRAFFIC,Property Damage,2/5/2018,BEARSS AV E / SOMERSET PARK DR,33613
1044927,2018-96192           ,BATTERY,BATTERY-SIMPLE,2/8/2018,1400 BLOCK 139TH AV E,33613
1044970,2018-95279           ,TRAFFIC,Property Damage,2/8/2018,FLETCHER AV E / BRUCE B DOWNS BL,33613
1050626,2018-154357          ,BATTERY,BATTERY-SIMPLE,3/3/2018,14500 BLOCK SEAFORD CR,33613
1051499,2018-163926          ,TRAFFIC,Non Incapacitating Injury,3/7/2018,BRUCE B DOWNS BL / 138TH AV E,33613
1051562,2018-163936          ,BATTERY,BATTERY-SIMPLE,3/7/2018,1900 BLOCK 136TH AV E,33613
1053437,2018-180768          ,TRAFFIC,Property Damage,3/14/2018,BEARSS AV W / HAVEN BN,33613
1047821,2018-126439          ,TRAFFIC,Property Damage,2/20/2018,BRUCE B DOWNS BL / COVE BEND DR,33613
1049627,2018-143157          ,THEFT,THEFT MOTOR VEHICLE PARTS,2/27/2018,1200 BLOCK SAND LAKE CR,33613
1054330,2018-192818          ,TRAFFIC,Non Incapacitating Injury,3/19/2018,BRUCE B DOWNS BL / 138TH AV E,33613
1058412,2018-233634          ,TRAFFIC,Property Damage,4/4/2018,BEARSS AV E / 18TH ST N,33613
1062820,2018-277492          ,TRAFFIC,Property Damage,4/22/2018,138TH AV E / 37TH ST N,33613
1063009,2018-279571          ,DRUGS,DRUGS/NARCOTICS,4/23/2018,1200 BLOCK SKIPPER RD,33613
1063092,2018-281273          ,TRAFFIC,Non Incapacitating Injury,4/23/2018,BEARSS AV E / 22ND ST N,33613
1059159,2018-238574          ,THEFT,SHOPLIFTING,4/6/2018,15300 BLOCK NEBRASKA AV N,33613
1063905,2018-289572          ,DRUGS,DRUGS/NARCOTICS,4/26/2018,14000 BLOCK NEPHI PL,33613
1065136,2018-301327          ,BATTERY,BATTERY-SIMPLE,5/1/2018,14800 BLOCK SHADY KNOLL CT,33613
1060138,2018-251239          ,DRUGS,DRUGS/NARCOTICS,4/11/2018,14300 BLOCK LUCERNE DR,33613
1060178,2018-251124          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,4/11/2018,13500 BLOCK FLORIDA AV N,33613
1060181,2018-250826          ,DRUGS,DRUGS/NARCOTICS,4/11/2018,14300 BLOCK LUCERNE DR,33613
1068691,2018-338424          ,TRAFFIC,Non Incapacitating Injury,5/16/2018,BEARSS AV E/PINECREST RD,33613
1057310,2018-220146          ,TRAFFIC,Property Damage,3/30/2018,FLETCHER AV E / BRUCE B DOWNS BL,33613
1057350,2018-223022          ,TRAFFIC,Property Damage,3/31/2018,BRUCE B DOWNS BL / COVE BEND DR,33613
1057433,2018-221490          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,3/31/2018,1300 BLOCK 137TH AV E,33613
1068840,2018-342325          ,TRAFFIC,Property Damage,5/17/2018,FLETCHER AV E / USF MAPLE DR,33613
1077138,2018-432867          ,DRUGS,DRUG PARAPHERNALIA,6/22/2018,BEARSS AV E / NEBRASKA AV N,33549
1072518,2018-378554          ,THEFT,SHOPLIFTING,6/1/2018,13600 BLOCK UNIVERSITY PZ,33613
1077284,2018-435213          ,BURGLARY,BURGLARY RESIDENCE / FORCED,6/23/2018,4100 BLOCK MONTICELLO GARDENS PL,33613
1076391,2018-423774          ,TRAFFIC,Property Damage,6/19/2018,BRUCE B DOWNS BL / BEARSS AV E,33613
1078346,2018-447362          ,TRAFFIC,Property Damage,6/28/2018,FLETCHER AV E / USF BANYAN CR,33613
1083218,2018-502133          ,DRUGS,DRUGS/NARCOTICS,7/20/2018,1500 BLOCK 140TH AV E,33613
1083241,2018-503009          ,BATTERY,BATTERY-AGGRAVATED,7/21/2018,13800 BLOCK HERITAGE CLUB DR,33613
1079325,2018-456681          ,THEFT,THEFT OF BICYCLE,7/2/2018,14200 BLOCK NEBRASKA AV N,33613
1079946,2018-464522          ,DRUGS,DRUG TRAFFICKING/DELIVERY,7/5/2018,140TH AV E / 15TH ST N,33613
1075455,2018-414014          ,THEFT,SHOPLIFTING,6/15/2018,13600 BLOCK UNIVERSITY PZ,33613
1084177,2018-513086          ,TRAFFIC,Non Incapacitating Injury,7/25/2018,BEARSS AV W / FLORIDA AV N,33613
1079537,2018-457595          ,BATTERY,BATTERY-SIMPLE,7/3/2018,13700 BLOCK SUSAN KAY DR,33613
1072687,2018-381678          ,BATTERY,BATTERY-SIMPLE,6/2/2018,14500 BLOCK BRUCE B DOWNS BL,33613
1086899,2018-545656          ,BURGLARY,THEFT FROM A VEHICLE,8/7/2018,13800 BLOCK AZALEA CR,33613
1094370,2018-627159          ,THEFT,THEFT VEHICLE & OTHER MOBILE,9/9/2018,2800 BLOCK BEARSS AV E,33613
1094410,2018-628815          ,TRAFFIC,Property Damage,9/9/2018,WETSTONE DR / LAKE MAGDALENE BL,33548
