OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
854798,2016-1126            ,BATTERY,BATTERY-SIMPLE,1/1/2016,17900 BLOCK CRAWLEY RD,33556
855540,2016-7193            ,THEFT,THEFT MOTOR VEHICLE PARTS,1/4/2016,11900 BLOCK TARPON SPRINGS RD,33556
855959,2016-005259          ,TRAFFIC,Property Damage,1/6/2016,WAYNE RD / SIMMS RD,33556
856471,2016-17773           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/8/2016,15700 BLOCK BEREA DR,33556
856776,2016-21081           ,TRAFFIC,Non Incapacitating Injury,1/9/2016,GUNN HW / LUTZ LAKE FERN RD,33556
856777,2016-020910          ,TRAFFIC,Non Incapacitating Injury,1/9/2016,BOY SCOUT RD / CRAWLEY RD,33556
856910,2016-23327           ,TRAFFIC,Property Damage,1/10/2016,SOUTH MOBLEY RD / GUNN HW,33556
857276,2016-24062           ,BURGLARY,BURGLARY BUSINESS/ FORCED,1/11/2016,8500 BLOCK GUNN HW,33556
857599,2016-28675           ,BATTERY,BATTERY-SIMPLE,1/12/2016,12700 BLOCK SILVER DOLLAR DR,33556
857755,2016-030553          ,TRAFFIC,Non Incapacitating Injury,1/13/2016,RACE TRACK RD / BOY SCOUT RD,33556
857757,2016-30500           ,TRAFFIC,Property Damage,1/13/2016,BOY SCOUT RD / LAKE CHURCH DR,33556
858310,2016-34832           ,TRAFFIC,Property Damage,1/15/2016,SOUTH MOBLEY RD / GUNN HW,33556
858514,2016-037249          ,TRAFFIC,Non Incapacitating Injury,1/16/2016,8500 BLOCK GUNN HW,33556
858865,2015-791642          ,TRAFFIC,Property Damage,1/18/2016,17800 BLOCK SIMMS RD,33556
858898,2016-41531           ,BATTERY,BATTERY-SIMPLE,1/18/2016,17100 BLOCK RAINBOW TR,33556
859275,2015-116075          ,TRAFFIC,Property Damage,1/20/2016,CRAWLEY RD / NORTH MOBLEY RD,33556
859405,2016-46693           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/20/2016,15700 BLOCK BEREA DR,33556
859619,2016-49597           ,TRAFFIC,Property Damage,1/21/2016,GUNN HW / TARPON SPRINGS RD,33556
859629,2016-48318           ,TRAFFIC,Property Damage,1/21/2016,GUNN HW / NORTH MOBLEY RD,33556
859714,2016-48747           ,FRAUD,FRAUD-IMPERSONATION,1/21/2016,15800 BLOCK MUIRFIELD DR,33556
860025,2016-54824           ,DUI,DUI (DRIVING UNDER INFLUENCE),1/23/2016,RACE TRACK RD / BOY SCOUT RD,33556
860102,2016-54723           ,TRAFFIC,Property Damage,1/23/2016,RACE TRACK RD / BOY SCOUT RD,33556
861233,2016-64513           ,TRAFFIC,Incapacitating,1/28/2016,PATTERSON RD / PATSY ACRES DR,33556
