OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
854734,2016-281             ,DUI,DUI (DRIVING UNDER INFLUENCE),1/1/2016,FLORIDA AV N / WINDWOOD OAKS DR,33613
854771,2016-1464            ,TRAFFIC,Property Damage,1/1/2016,FLORIDA AV N / LAKE MAGDALENE BL,33549
854779,2016-1188            ,TRAFFIC,Property Damage,1/1/2016,BRUCE B DOWNS BL / 138TH AV E,33613
854780,2016-1268            ,TRAFFIC,Property Damage,1/1/2016,BRUCE B DOWNS BL / FLETCHER AV E,33613
854787,2015-849017          ,TRAFFIC,Property Damage,1/1/2016,15TH ST N / FLETCHER AV E,33612
854860,2016-1997            ,DRUGS,DRUGS/NARCOTICS,1/1/2016,BEARSS AV E / 17TH ST N,33549
854866,2016-60              ,BATTERY,BATTERY-SIMPLE,1/1/2016,13600 BLOCK GRAGSTON CR,33613
854929,2016-2990            ,BURGLARY,THEFT FROM A VEHICLE,1/2/2016,4000 BLOCK DREAM OAK PL,33613
854973,2016-2413            ,TRAFFIC,Non Incapacitating Injury,1/2/2016,FLETCHER AV E / BRUCE B DOWNS BL,33613
854977,2016-3345            ,THEFT,THEFT FROM A BUILDING,1/2/2016,13700 BLOCK 42ND ST N,33613
854984,2016-3552            ,BATTERY,BATTERY-SIMPLE,1/2/2016,14200 BLOCK NEBRASKA AV N,33613
854986,2016-3795            ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/2/2016,1500 BLOCK 139TH AV E,33613
854993,2016-4167            ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/2/2016,1800 BLOCK 142ND AV E,33613
855028,2016-2811            ,THEFT,PETIT THEFT - ALL OTHER,1/2/2016,1400 BLOCK FOUR SEASONS BL,33613
855102,2016-2519            ,BATTERY,BATTERY-SIMPLE,1/2/2016,14400 BLOCK HELLENIC DR,33613
855126,2016-3459            ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/2/2016,3600 BLOCK PALM CROSSING DR,33613
855135,2016-4669            ,BATTERY,BATTERY-SIMPLE,1/3/2016,14300 BLOCK DAKE LN,33613
855140,2016-4890            ,BATTERY,BATTERY-SIMPLE,1/3/2016,3000 BLOCK BARNHARD DR,33613
855141,2016-4964            ,THEFT,THEFT OF BICYCLE,1/3/2016,14500 BLOCK 22ND ST N,33613
855145,2016-5141            ,BURGLARY,THEFT FROM A VEHICLE,1/3/2016,1700 BLOCK SKIPPER RD,33613
855156,2016-5567            ,FRAUD,FRAUD-OTHER,1/3/2016,3100 BLOCK GRAND PAVILION DR,33613
855178,2016-5063            ,BATTERY,BATTERY-AGGRAVATED,1/3/2016,14300 BLOCK DAKE LN,33613
855185,2016-5390            ,DRUGS,DRUGS/NARCOTICS,1/3/2016,21ST ST N / 140TH AV E,33613
855207,2016-6051            ,TRAFFIC,Property Damage,1/3/2016,BRUCE B DOWNS BL / SKIPPER RD,33613
855304,2016-5686            ,BATTERY,BATTERY-SIMPLE,1/3/2016,2400 BLOCK CEDAR TRACE CR,33613
855313,2016-6073            ,DRUGS,DRUGS/NARCOTICS,1/3/2016,14300 BLOCK 18TH ST N,33613
855314,2016-5757            ,DRUGS,DRUGS/NARCOTICS,1/3/2016,800 BLOCK WALKER DR,33613
855399,2016-8189            ,TRAFFIC,Property Damage,1/4/2016,FLETCHER AV W / MAGDALENE SHORES AV,33613
855417,2016-8712            ,TRAFFIC,Property Damage,1/4/2016,FLETCHER AV E / LIVINGSTON AV,33613
855630,2016-10234           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/5/2016,14300 BLOCK HENSEL LN,33613
855633,2016-10547           ,THEFT,SHOPLIFTING,1/5/2016,13600 BLOCK UNIVERSITY PZ,33613
855654,2016-10549           ,THEFT,SHOPLIFTING,1/5/2016,15300 BLOCK NEBRASKA AV N,33613
855713,2016-009871          ,TRAFFIC,Property Damage,1/5/2016,FLORAL DR / CARNATION DR,33613
855717,2016-11064           ,TRAFFIC,Non Incapacitating Injury,1/5/2016,BRUCE B DOWNS BL / LAKESIDE COMMONS DR,33613
855757,2016-11208           ,BURGLARY,THEFT FROM A VEHICLE,1/5/2016,14700 BLOCK BANYAN BLUFF DR,33613
855859,2016-10622           ,BATTERY,BATTERY-AGGRAVATED,1/5/2016,FOUR SEASONS BL / AUTUMN DR,33613
855875,2016-10780           ,DRUGS,DRUGS/NARCOTICS,1/5/2016,1200 BLOCK SKIPPER RD,33613
855920,2016-13363           ,DRUGS,DRUGS/NARCOTICS,1/6/2016,138TH AV E / 15TH ST N,33613
855931,2015-819200          ,TRAFFIC,Property Damage,1/6/2016,22ND ST N / 138TH AV E,33613
855945,2016-12783           ,TRAFFIC,Non Incapacitating Injury,1/6/2016,FLORIDA AV N / FLETCHER AV E,33613
856013,2016-13133           ,THEFT,SHOPLIFTING,1/6/2016,14500 BLOCK 22ND ST N,33613
856014,2016-13146           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/6/2016,PINECREST RD / FISHER RD,33613
856064,2016-14168           ,THEFT,THEFT FROM A BUILDING,1/6/2016,3100 BLOCK FLETCHER AV E,33613
856065,2016-14186           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/6/2016,4300 BLOCK SHIRE CT,33613
856182,2016-15778           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/7/2016,14200 BLOCK SHILOH WOODS CT,33613
856237,2016-15652           ,THEFT,THEFT FROM A BUILDING,1/7/2016,14800 BLOCK FLORIDA AV N,33613
856268,2016-14789           ,TRAFFIC,Property Damage,1/7/2016,BEARSS AV W / BOULEVARD N,33613
856279,2016-15782           ,TRAFFIC,Property Damage,1/7/2016,FLETCHER AV E / 22ND ST N,33612
856352,2016-16335           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/7/2016,142ND AV E / 15TH ST N,33613
856486,2016-18447           ,TRAFFIC,Property Damage,1/8/2016,15TH ST N / FLETCHER AV E,33612
856496,2016-19348           ,TRAFFIC,Non Incapacitating Injury,1/8/2016,BRUCE B DOWNS BL / 43RD ST N,33613
856581,2016-19254           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/8/2016,2800 BLOCK LAKESIDE COMMONS DR,33613
856582,2016-18160           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/8/2016,13700 BLOCK SUSAN KAY DR,33613
856621,2016-18934           ,DRUGS,DRUGS/NARCOTICS,1/8/2016,2800 BLOCK LAKESIDE COMMONS DR,33613
856631,2016-17041           ,THEFT,THEFT FROM A BUILDING,1/8/2016,3100 BLOCK FLETCHER AV E,33613
856637,2016-17322           ,THEFT,THEFT FROM A BUILDING,1/8/2016,2200 BLOCK BEARSS AV E,33613
856657,2016-18656           ,DRUGS,DRUGS/NARCOTICS,1/8/2016,13600 BLOCK 20TH ST N,33613
856740,2016-20797           ,THEFT,SHOPLIFTING,1/9/2016,13600 BLOCK UNIVERSITY PZ,33613
856743,2016-20870           ,BURGLARY,THEFT FROM A VEHICLE,1/9/2016,14000 BLOCK 22ND ST N,33613
856802,2016-21025           ,ROBBERY,PERSON - ROBBERY,1/9/2016,14200 BLOCK NEBRASKA AV N,33613
856817,2016-19889           ,DUI,DUI (DRIVING UNDER INFLUENCE),1/9/2016,BEARSS AV E / I275 NORTHBOUND,33613
856818,2016-19889           ,DUI,DUI (DRIVING UNDER INFLUENCE),1/9/2016,BEARSS AV E / I275 NORTHBOUND,33613
856822,2016-20396           ,THEFT,THEFT OF BICYCLE,1/9/2016,14500 BLOCK SEAFORD CR,33613
856831,2016-20875           ,BATTERY,BATTERY-SIMPLE,1/9/2016,13700 BLOCK 21ST ST N,33613
856839,2016-20086           ,BATTERY,BATTERY-SIMPLE,1/9/2016,3600 BLOCK JEFFERSON COMMONS DR,33613
856849,2016-20713           ,THEFT,THEFT MOTOR VEHICLE PARTS,1/9/2016,13500 BLOCK AVALON HEIGHTS BL,33613
856928,2016-22696           ,THEFT,THEFT MOTOR VEHICLE PARTS,1/10/2016,1900 BLOCK PINE LOCH TR,33613
857007,2016-21958           ,BATTERY,BATTERY-AGGRAVATED,1/10/2016,4000 BLOCK ROCKY CR,33613
857008,2016-21958           ,ASSAULT,AGGRAVATED ASSAULT,1/10/2016,4000 BLOCK ROCKY CR,33613
857009,2016-21958           ,BATTERY,BATTERY-SIMPLE,1/10/2016,4000 BLOCK ROCKY CR,33613
857055,2016-25189           ,BATTERY,BATTERY-SIMPLE,1/11/2016,14000 BLOCK NEBRASKA AV N,33613
857071,2016-24913           ,BURGLARY,THEFT FROM A VEHICLE,1/11/2016,14500 BLOCK WINTER DR,33613
857123,2016-25266           ,THEFT,THEFT OF BICYCLE,1/11/2016,2000 BLOCK FLETCHER AV E,33612
857126,2016-25566           ,BURGLARY,THEFT FROM A VEHICLE,1/11/2016,2900 BLOCK LAKESIDE COMMONS DR,33613
857144,2016-25267           ,THEFT,THEFT OF BICYCLE,1/11/2016,136TH AV E / 21ST ST N,33613
857182,2016-24050           ,TRAFFIC,Non Incapacitating Injury,1/11/2016,FLETCHER AV W / BOULEVARD N,33612
857186,2016-25435           ,TRAFFIC,Non Incapacitating Injury,1/11/2016,FLETCHER AV E / 12TH ST N,33612
857189,2016-25665           ,TRAFFIC,Property Damage,1/11/2016,BRUCE B DOWNS BL / 42ND ST N,33613
857231,2016-23821           ,BURGLARY,BURGLARY BUSINESS/ FORCED,1/11/2016,14000 BLOCK SAULK CT,33613
857270,2016-23697           ,DRUGS,DRUGS/NARCOTICS,1/11/2016,1900 BLOCK 139TH AV E,33613
857290,2016-25004           ,THEFT,SHOPLIFTING,1/11/2016,13600 BLOCK UNIVERSITY PZ,33613
857297,2016-25943           ,THEFT,THEFT OF BICYCLE,1/11/2016,13500 BLOCK CECELIA AV,33613
857392,2016-028596          ,TRAFFIC,Non Incapacitating Injury,1/12/2016,FLETCHER AV E / 12TH ST N,33612
857401,2016-26847           ,TRAFFIC,Property Damage,1/12/2016,FLETCHER AV E / 46TH ST N,33613
857426,2016-27953           ,TRAFFIC,Non Incapacitating Injury,1/12/2016,13700 BLOCK REVERE LANDINGS DR,33613
857450,2016-28213           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/12/2016,142ND AV E / 15TH ST N,33613
857467,2016-26995           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/12/2016,1400 BLOCK 143RD AV E,33613
857500,2016-26261           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/12/2016,140TH AV E / NEBRASKA AV N,33613
857551,2016-27271           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/12/2016,13700 BLOCK SUSAN KAY DR,33613
857586,2016-27965           ,THEFT,SHOPLIFTING,1/12/2016,14600 BLOCK BRUCE B DOWNS BL,33613
857612,2016-28214           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/12/2016,12TH ST N / 140TH AV E,33613
857641,2016-30723           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/13/2016,140TH AV E / 15TH ST N,33613
857700,2016-29994           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/13/2016,4400 BLOCK AVALON SUITES TR,33613
857737,2016-31276           ,DRUGS,DRUGS/NARCOTICS,1/13/2016,4200 BLOCK FLETCHER AV E,33613
857738,2016-31276           ,DRUGS,DRUG PARAPHERNALIA,1/13/2016,4200 BLOCK FLETCHER AV E,33613
857767,2016-030454          ,TRAFFIC,Property Damage,1/13/2016,FLETCHER AV E / 12TH ST N,33612
857773,2015-845857          ,TRAFFIC,Incapacitating,1/13/2016,FLETCHER AV E / 19TH ST N,33613
857800,2016-30986           ,THEFT,THEFT OF BICYCLE,1/13/2016,1500 BLOCK 139TH AV E,33613
